compound,exp2_22deg_1,exp2_22deg_2,exp2_22deg_3,exp2_22deg_4,exp2_37deg_1,exp2_37deg_2,exp2_37deg_3,exp2_37deg_4,exp4_22deg_1,exp4_22deg_2,exp4_22deg_3,exp4_22deg_4,exp4_37deg_1,exp4_37deg_2,exp4_37deg_3,exp4_37deg_4,exp2_22deg_1_l,exp2_22deg_2_l,exp2_22deg_3_l,exp2_22deg_4_l,exp2_37deg_1_l,exp2_37deg_2_l,exp2_37deg_3_l,exp2_37deg_4_l,exp4_22deg_1_l,exp4_22deg_2_l,exp4_22deg_3_l,exp4_22deg_4_l,exp4_37deg_1_l,exp4_37deg_2_l,exp4_37deg_3_l,exp4_37deg_4_l
hCer_t18:0_h23:0,0.07462825119258176,0.07294120540713929,0.05342098931735242,0.046407948819712344,0.03955184006050924,0.05662453679571509,0.054941481481328845,0.04148037710999969,0.34314478655088904,0.30514385647170056,0.4199731863523053,0.24919978217763128,0.2331528181649281,0.10013593161682072,0.19835323587615697,0.48466603729839475,0.006556965744134958,0.0224555773704582,0.0040138933703012195,0.007354051572768267,0.011922448488468861,0.0003757790245115314,0.00684841486154585,0.00456772828340306,0.0,0.0,0.0,0.0,0.05529543864252369,0.06415079928930875,0.0812292915114385,0.045906884963194804
hCer_t18:1_h24:1,12.011056526373544,10.964415450878068,11.342773026206164,7.773842863784186,4.89404213557384,5.435114401481073,5.246581525538416,4.643051965324948,46.5767491450405,44.855947374117406,47.91357238629765,45.08906473593606,32.966259105910076,33.05287051468476,25.501034341681933,37.14210668120941,0.18765105371269564,0.29269874415171016,0.2819322547408511,0.24750218264039564,0.4276663350753495,0.3890303472832656,0.31092918945034004,0.4286094975935741,1.6381308380053297,1.8298589489731572,1.8418174813188477,2.161192919043642,3.762101939769853,4.965025098890644,6.076710602309137,3.9745738713455148
hCer_t18:0_h24:1,0.8636448005527045,0.7944840741534168,0.6478692176061682,0.49105341524302676,0.39390780512326656,0.4587394470927453,0.4427082989302307,0.38176342570785377,2.738687642956663,2.0284145153337767,2.955410434582445,1.786484937933661,1.9522754851097615,1.6240238066379615,1.143702893484285,1.8757906784413805,0.16264648477485139,0.2031748393536875,0.16568126386069684,0.1000007808939831,0.21080886950017066,0.20446638536743916,0.19921345260632684,0.1989029727534071,0.0,0.0,0.0,0.0,1.6056911229678519,1.3328682617435028,1.7500148848789598,1.6953252839989623
hCer_t18:1_h24:0,13.570314751550272,13.183189932871075,12.18635005092981,8.240358776094741,5.4677006152905046,6.359890981202981,6.2055274299523315,5.031202057412034,34.30213497213138,31.92910367430602,35.251221278468186,30.09239186590967,26.68318869171822,25.420546945193866,20.059802884578055,28.293565100095556,0.10675183619577532,0.13777236472621485,0.15652612646625821,0.15103661598583665,0.344185493289412,0.31187664233107654,0.2853256612679817,0.33228510877573675,0.0,0.036217275048737105,0.0,0.3803230930689936,4.148089585866014,5.6433761721019575,6.738447122108389,4.752988486998553
hCer_t18:0_h24:0,1.5006189595368031,1.4428355080880937,1.132253274197144,0.8798950384527887,0.669502140224153,0.7404249769055938,0.7217086440311598,0.5902414016997983,4.233518052860317,3.104469643570473,4.137053974346414,3.0687619579890972,2.6891562609329123,2.530000721837029,2.5854485710384623,2.7952866314704696,0.1153453258416279,0.15797477504939694,0.11284999476890448,0.04543463744106465,0.1193570071711865,0.12935484632792055,0.13195987898879946,0.11860499214336939,0.17390503374107816,0.07235596240285365,0.11810335572081568,0.22019873488627614,1.5792685919117078,1.6970556671576036,1.8248435559494813,1.6186527083688371
hCer_t18:0_h25:1,0.027827403703286423,0.03256623807222562,0.01666678680880526,0.021653256567750818,0.008742355005092578,0.014367772039579556,0.02319782416763616,0.010335059311270552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01742189364815309,0.004296701197517073,0.012617760433032558,0.004558208918665898,0.004595986542005979,0.006639510224478046,0.004663231406673652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hCer_t18:1_h25:0,0.38663761784731937,0.3816553388860926,0.3265685655532572,0.2541723091477731,0.13354929763759785,0.13610266206442867,0.1656257133698117,0.13244341461059392,1.086433600887937,0.9914098393336014,0.9938041373522594,0.9671567766213185,0.7186702878817395,0.5134358164129698,0.3852372646882662,0.6453351690859356,0.0010503293369616923,0.0,0.00046268429097360154,0.0,0.0015583016667167831,0.004594672998489022,0.003030482943812233,0.00615279387690306,0.0,0.0,0.0,0.0,0.0,0.0,0.13913080903313418,0.0
hCer_t18:0_h25:0,0.040015291215602045,0.0586364160746319,0.041060367546148994,0.027744367295428226,0.023127647971649287,0.025987764166770705,0.02625638436116476,0.012482908371757565,0.42582664758858546,0.3217423452700443,0.41120213841334063,0.060974325036753894,0.3018772686224228,0.15193425233032512,0.29087778134266384,0.7145805447750982,0.005635900449976622,0.010556715687975822,0.003939811749950677,0.0029659972034533555,0.0,0.006354303374192628,0.0011670167234562755,0.006025167582890317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hCer_t18:1_h26:1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5350855324850157,3.248673461130875,3.4113029447796506,2.7349912275321757,2.3988336270388846,2.1606631219829886,1.6565878653090365,2.6011546549256153,0.0,0.12382965530448765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hCer_t18:0_h26:1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
